"phase","cards","order","outcomeArray","response","answer","AmyResponse","BenResponse","corAnswer","round","subj","outcome","cards_iso","RT","points","exp_time","number","inference_level","should_know","numRound","age","gender"
1,"A8A8AA","Ben,You,Amy","[[False, False, False], [False, True]]","False","","False","False","False",1,114,0,"A8A8AA",45.608,4,32.8,41,2,4,2,18,0
1,"A8A8AA","Ben,You,Amy","[[False, False, False], [False, True]]","False","","","False","True",2,114,0,"A8A8AA",13.633,4,32.8,41,2,4,2,18,0
2,"88AAAA","Amy,Ben,You","[[False, False, True]]","True","88","False","False","True",1,114,1,"AA8888",4.191,4,32.8,41,0,1,1,18,0
3,"A888AA","Amy,Ben,You","[[False, False, True]]","True","A8","False","False","True",1,114,1,"A8AA88",18.11,4,32.8,41,1,3,1,18,0
4,"AAA8A8","Ben,You,Amy","[[False, False, False], [True, False, True], [True, False]]","False","A8","False","False","False",1,114,0,"AAA8A8",30.421,4,32.8,41,3,10,3,18,0
4,"AAA8A8","Ben,You,Amy","[[False, False, False], [True, False, True], [True, False]]","True","A8","","True","False",2,114,0,"AAA8A8",74.405,4,32.8,41,3,10,3,18,0
5,"A8AAA8","Amy,Ben,You","[[False, False, False], [False, True, False], [False, True, False]]","False","A8","False","False","False",1,114,0,"A8AAA8",7.208,4,32.8,41,4,10,3,18,0
5,"A8AAA8","Amy,Ben,You","[[False, False, False], [False, True, False], [False, True, False]]","False","A8","False","True","False",2,114,0,"A8AAA8",125.956,4,32.8,41,4,10,3,18,0
5,"A8AAA8","Amy,Ben,You","[[False, False, False], [False, True, False], [False, True, False]]","True","A8","False","True","False",3,114,0,"A8AAA8",41,4,32.8,41,4,10,3,18,0
6,"AAAA88","Ben,You,Amy","[[True, True]]","True","AA","","True","True",1,114,1,"AAAA88",5.913,4,32.8,41,1,2,1,18,0
7,"A8A8A8","Ben,You,Amy","[[False, False, False], [False, True]]","False","","False","False","False",1,114,0,"A8A8A8",4.705,4,32.8,41,3,5,2,18,0
7,"A8A8A8","Ben,You,Amy","[[False, False, False], [False, True]]","False","","","False","True",2,114,0,"A8A8A8",2.784,4,32.8,41,3,5,2,18,0
8,"88A8AA","You,Amy,Ben","[[False, False, False], [False, True, False], [False]]","False","88","False","False","False",1,114,0,"AAA888",5.873,4,32.8,41,4,10,3,18,0
8,"88A8AA","You,Amy,Ben","[[False, False, False], [False, True, False], [False]]","False","88","True","False","False",2,114,0,"AAA888",2.038,4,32.8,41,4,10,3,18,0
8,"88A8AA","You,Amy,Ben","[[False, False, False], [False, True, False], [False]]","True","88","","","False",3,114,0,"AAA888",2.121,4,32.8,41,4,10,3,18,0
9,"AA88A8","You,Amy,Ben","[[False, False, True], [True]]","False","AA","False","True","False",1,114,1,"AA88A8",5.83,4,32.8,41,2,4,2,18,0
9,"AA88A8","You,Amy,Ben","[[False, False, True], [True]]","True","AA","","","True",2,114,1,"AA88A8",9.538,4,32.8,41,2,4,2,18,0
10,"AA88AA","You,Amy,Ben","[[False, True, True], [True]]","False","","True","True","False",1,114,0,"AA88AA",3.993,4,32.8,41,1,3,2,18,0
10,"AA88AA","You,Amy,Ben","[[False, True, True], [True]]","False","","","","True",2,114,0,"AA88AA",28.033,4,32.8,41,1,3,2,18,0
1,"8888AA","Ben,You,Amy","[[True, True]]","False","","","True","True",1,115,0,"AAAA88",63.979,1,23.2,40,1,2,1,30,1
2,"AA88A8","You,Amy,Ben","[[False, False, True], [True]]","False","A8","False","True","False",1,115,0,"AA88A8",5.937,1,23.2,40,2,4,2,30,1
2,"AA88A8","You,Amy,Ben","[[False, False, True], [True]]","True","A8","","","True",2,115,0,"AA88A8",2.132,1,23.2,40,2,4,2,30,1
3,"A8A888","Amy,Ben,You","[[False, False, False], [True, False, True]]","False","AA","False","False","False",1,115,0,"A8A8AA",4.672,1,23.2,40,4,6,2,30,1
3,"A8A888","Amy,Ben,You","[[False, False, False], [True, False, True]]","True","AA","True","False","True",2,115,0,"A8A8AA",2.934,1,23.2,40,4,6,2,30,1
4,"88AAAA","Ben,You,Amy","[[False, True]]","True","88","","False","True",1,115,1,"AA8888",2.485,1,23.2,40,0,1,1,30,1
5,"88AA88","Amy,Ben,You","[[True, True, True]]","True","A8","True","True","True",1,115,0,"AA88AA",10.897,1,23.2,40,1,2,1,30,1
6,"A888AA","Ben,You,Amy","[[False, False, False], [False, True]]","False","","False","False","False",1,115,0,"A8AA88",10.824,1,23.2,40,1,4,2,30,1
6,"A888AA","Ben,You,Amy","[[False, False, False], [False, True]]","False","","","False","True",2,115,0,"A8AA88",2.544,1,23.2,40,1,4,2,30,1
7,"A8A8A8","Ben,You,Amy","[[False, False, False], [False, True]]","False","","False","False","False",1,115,0,"A8A8A8",2.108,1,23.2,40,3,5,2,30,1
7,"A8A8A8","Ben,You,Amy","[[False, False, False], [False, True]]","False","","","False","True",2,115,0,"A8A8A8",1.352,1,23.2,40,3,5,2,30,1
8,"88A8AA","You,Amy,Ben","[[False, False, False], [False, True, False], [False]]","False","A8","False","False","False",1,115,0,"AAA888",3.188,1,23.2,40,4,10,3,30,1
8,"88A8AA","You,Amy,Ben","[[False, False, False], [False, True, False], [False]]","True","A8","","","False",2,115,0,"AAA888",2.168,1,23.2,40,4,10,3,30,1
9,"AAA8A8","Amy,Ben,You","[[False, False, False], [False, True, False], [False, True, False]]","False","AA","False","False","False",1,115,0,"AAA8A8",1.89,1,23.2,40,3,10,3,30,1
