"phase","cards","order","outcomeArray","response","answer","AmyResponse","BenResponse","corAnswer","round","subj","outcome","cards_iso","RT","points","exp_time","number","inference_level","should_know","numRound","age","gender"
10,"AAA888","Amy,Ben,You","[[False, False, False], [True, True, True]]","True","AA","True","True","True",2,103,1,"AAA888",54.229,5,29.7,17,4,6,2,24,0
1,"A8AAA8","Ben,You,Amy","[[False, False, False], [False, True]]","False","","False","False","False",1,104,0,"A8AAA8",23.338,4,33.9,37,2,5,2,22,0
1,"A8AAA8","Ben,You,Amy","[[False, False, False], [False, True]]","False","","","False","True",2,104,0,"A8AAA8",124.2,4,33.9,37,2,5,2,22,0
2,"AA8888","Amy,Ben,You","[[False, False, True]]","True","AA","False","False","True",1,104,1,"AA8888",2.625,4,33.9,37,0,1,1,22,0
3,"AA88A8","Amy,Ben,You","[[False, False, False], [False, True, False], [False, True, False]]","False","A8","False","False","False",1,104,0,"AA88A8",36.579,4,33.9,37,4,10,3,22,0
3,"AA88A8","Amy,Ben,You","[[False, False, False], [False, True, False], [False, True, False]]","True","A8","False","True","False",2,104,0,"AA88A8",75.6,4,33.9,37,4,10,3,22,0
4,"88AA88","You,Amy,Ben","[[False, True, True], [True]]","False","","True","True","False",1,104,0,"AA88AA",6.587,4,33.9,37,1,3,2,22,0
4,"88AA88","You,Amy,Ben","[[False, True, True], [True]]","False","","","","True",2,104,0,"AA88AA",30.212,4,33.9,37,1,3,2,22,0
5,"AAA8A8","You,Amy,Ben","[[False, False, False], [False, True, False], [False]]","False","A8","False","False","False",1,104,0,"AAA8A8",5.784,4,33.9,37,3,10,3,22,0
5,"AAA8A8","You,Amy,Ben","[[False, False, False], [False, True, False], [False]]","False","A8","True","False","False",2,104,0,"AAA8A8",8.859,4,33.9,37,3,10,3,22,0
5,"AAA8A8","You,Amy,Ben","[[False, False, False], [False, True, False], [False]]","True","A8","","","False",3,104,0,"AAA8A8",2.09,4,33.9,37,3,10,3,22,0
6,"A8A8A8","Ben,You,Amy","[[False, False, False], [False, True]]","False","","False","False","False",1,104,0,"A8A8A8",22.123,4,33.9,37,3,5,2,22,0
